Words,Emotion
disdain,Angry
disgust,Angry
disgusted,Angry
disgustedly,Angry
disgustful,Angry
disgusting,Angry
disgustingly,Angry
dishearten,Sad
disheartened,Sad
disheartening,Sad
dismal,Sad
dismay,Fear
dismay,Sad
dispirit,Sad
dispirited,Sad
dispiritedness,Sad
dispiriting,Sad
displeas,Angry
displease,Angry
displeased,Angry
displeasing,Angry
displeasingly,Angry
displeasur,Angry
displeasure,Angry
distast,Angry
distasteful,Angry
distastefully,Angry
distress,Sad
distressed,Sad
dole,Sad
doleful,Sad
dolefully,Sad
dolefulness,Sad
dolor,Sad
dolorous,Sad
dolour,Sad
dolourous,Sad
down,Sad
downcast,Sad
downheart,Sad
downhearted,Sad
downheartedness,Sad
downtrodden,Sad
drab,Sad
dread,Fear
dreaded,Fear
dreadful,Fear
dreadfully,Fear
drear,Sad
dreari,Sad
dreary,Sad
dudgeon,Angry
dumbfound,Surprise
dumbfounded,Surprise
dumfound,Surprise
dumfounded,Surprise
dun,Angry
dysphor,Sad
dysphoria,Sad
dysphoric,Sad
eager,Happy
eagerly,Happy
eagerness,Happy
ebulli,Happy
ebullient,Happy
ebulliently,Happy
elan,Happy
elat,Happy
elate,Happy
elated,Happy
elating,Happy
elation,Happy
embolden,Happy
emot,Happy
emotive,Happy
empath,Happy
empathet,Happy
empathetic,Happy
empathetically,Happy
empathi,Happy
empathic,Happy
empathy,Happy
enamor,Happy
enamored,Happy
enamoredness,Happy
enamour,Happy
enchant,Happy
enchanting,Happy
enchantment,Happy
endear,Happy
endearingly,Happy
enfuri,Angry
enfuriate,Angry
enjoy,Happy
enmiti,Angry
enmity,Angry
enrag,Angry
enraged,Angry
enragement,Angry
enthral,Happy
enthralled,Happy
enthralling,Happy
enthrallment,Happy
enthusiasm,Happy
enthusiast,Happy
enthusiastic,Happy
enthusiastically,Happy
entranc,Happy
entrance,Happy
entranced,Happy
entrancing,Happy
envi,Angry
enviabl,Angry
enviable,Angry
enviably,Angry
envious,Angry
enviously,Angry
enviousness,Angry
envy,Angry
esteem,Happy
euphor,Happy
euphori,Happy
euphoria,Happy
euphoriant,Happy
euphoric,Happy
evil,Angry
exacerb,Angry
exacerbate,Angry
exalt,Happy
exasper,Angry
exasperate,Angry
exasperating,Angry
exasperation,Angry
excit,Happy
excitement,Happy
exciting,Happy
execr,Angry
execr,Sad
execrable,Sad
execrate,Angry
execration,Angry
exhilar,Happy
exhilarate,Happy
exhilarated,Happy
exhilarating,Happy
exhilaration,Happy
exhort,Happy
expans,Happy
expansively,Happy
expect,Happy
expectancy,Happy
exuber,Happy
exuberance,Happy
exuberant,Happy
exuberantly,Happy
exult,Happy
exultant,Happy
exultantly,Happy
exultation,Happy
exulting,Happy
exultingly,Happy
fanci,Happy
fancy,Happy
fantast,Surprise
fantastic,Surprise
fascin,Happy
fascinate,Happy
fascinating,Happy
fascination,Happy
favor,Happy
favorable,Happy
favorably,Happy
favour,Happy
favourable,Happy
favourably,Happy
fawn,Fear
fear,Fear
fearful,Fear
fearfully,Fear
fearfulness,Fear
fearsom,Fear
fearsome,Fear
fed_up,Angry
feeling_of_ident,Happy
feeling_of_identity,Happy
fellow_feel,Happy
fellow_feeling,Happy
festal,Happy
festiv,Happy
festive,Happy
fit,Angry
flabbergast,Surprise
flabbergasted,Surprise
flummox,Surprise
flush,Happy
fond,Happy
fond_regard,Happy
fondly,Happy
fondness,Happy
forebod,Fear
foreboding,Fear
forlorn,Sad
forlornly,Sad
forlornness,Sad
foul,Angry
fratern,Happy
fraternal,Happy
friend,Happy
friendli,Happy
friendliness,Happy
friendly,Happy
fright,Fear
frighten,Fear
frighten_away,Fear
frighten_off,Fear
frightened,Fear
frightening,Fear
frighteningly,Fear
frightful,Fear
frustrat,Angry
frustrate,Angry
frustrated,Angry
frustrating,Angry
frustration,Angry
fulfil,Happy
fulfill,Happy
fulfillment,Happy
fulfilment,Happy
furi,Angry
furious,Angry
furiously,Angry
fury,Angry
gaieti,Happy
gaiety,Happy
gala,Happy
gall,Angry
galling,Angry
gay,Happy
gayli,Happy
gayly,Happy
get,Surprise
get_at,Angry
get_down,Sad
get_to,Angry
giving_protect,Happy
giving_protection,Happy
glad,Happy
gladden,Happy
gladdened,Happy
gladfulness,Happy
gladness,Happy
gladsom,Happy
gladsome,Happy
gladsomeness,Happy
glee,Happy
gleeful,Happy
gleefulli,Happy
gleefully,Happy
gleefulness,Happy
gloat,Happy
gloating,Happy
gloatingly,Happy
gloom,Sad
gloomful,Sad
gloomi,Sad
gloomili,Sad
gloomily,Sad
gloominess,Sad
glooming,Sad
gloomy,Sad
glum,Sad
godforsaken,Sad
good,Happy
good_wil,Happy
good_will,Happy
goodwil,Happy
goodwill,Happy
grabbi,Angry
grabby,Angry
grasp,Angry
grasping,Angry
