Words,Emotion
gratifi,Happy
gratify,Happy
gratifying,Happy
gratifyingly,Happy
gravel,Angry
gravel,Surprise
great,Happy
greedi,Angry
greedy,Angry
green-ey,Angry
green-eyed,Angry
green-eyed_monst,Angry
green-eyed_monster,Angry
grief,Sad
grief-stricken,Sad
griev,Sad
grievanc,Angry
grievance,Angry
grieve,Sad
grieving,Sad
grievous,Sad
grievously,Sad
grim,Sad
grizzl,Angry
grizzle,Angry
grovel,Fear
grudg,Angry
grudge,Angry
grudging,Angry
guilt,Sad
guilt_feel,Sad
guilt_feelings,Sad
guilt_trip,Sad
guilti,Sad
guilty,Sad
guilty_consci,Sad
guilty_conscience,Sad
gusto,Happy
hackl,Angry
hackles,Angry
hangdog,Fear
hangdog,Sad
hapless,Sad
happi,Happy
happili,Happy
happily,Happy
happiness,Happy
happy,Happy
harass,Angry
harass,Sad
harassed,Angry
harassment,Angry
hardheart,Fear
hardhearted,Fear
hardheartedness,Fear
harri,Angry
harried,Angry
hate,Angry
hateful,Angry
hatefully,Angry
hatr,Angry
hatred,Angry
heart,Happy
heartach,Sad
heartache,Sad
heartbreak,Sad
heartbreaking,Sad
heartburn,Angry
heartburning,Angry
hearten,Happy
heartless,Fear
heartlessly,Fear
heartlessness,Fear
heartrend,Sad
heartrending,Sad
heartsick,Sad
heartsickness,Sad
heavyheart,Sad
heavyhearted,Sad
heavyheartedness,Sad
helpless,Sad
helplessness,Sad
hero_worship,Happy
hesit,Fear
hesitance,Fear
hesitancy,Fear
hesitantly,Fear
hesitatingly,Fear
hideous,Angry
hideous,Fear
hideously,Fear
high_dudgeon,Angry
high_spirit,Happy
high_spirits,Happy
high-spirit,Happy
high-spirited,Happy
hilar,Happy
hilari,Happy
hilarious,Happy
hilariously,Happy
hilarity,Happy
horrend,Fear
horrendous,Fear
horribl,Fear
horrible,Fear
horribly,Fear
horrid,Fear
horridly,Fear
horrif,Fear
horrifi,Fear
horrific,Fear
horrified,Fear
horrify,Fear
horrifying,Fear
horrifyingly,Fear
horror,Angry
horror,Fear
horror-stricken,Fear
horror-struck,Fear
hostil,Angry
hostile,Angry
hostilely,Angry
hostility,Angry
howl,Surprise
howling,Surprise
huffi,Angry
huffili,Angry
huffily,Angry
huffiness,Angry
huffish,Angry
huffishness,Angry
huffy,Angry
hyster,Fear
hysteria,Fear
hysterical,Fear
hysterically,Fear
identif,Happy
identifi,Happy
identification,Happy
identify,Happy
ill_temp,Angry
ill_temper,Angry
ill_wil,Angry
ill_will,Angry
impress,Happy
in_awe_of,Surprise
incens,Angry
incense,Angry
incensed,Angry
indign,Angry
indignant,Angry
indignantly,Angry
indignation,Angry
infatu,Happy
infatuation,Happy
infuri,Angry
infuriate,Angry
infuriated,Angry
infuriating,Angry
infuriation,Angry
insouci,Happy
insouciance,Happy
inspir,Happy
inspire,Happy
interest,Happy
intimaci,Happy
intimacy,Happy
intimid,Fear
intimidate,Fear
intimidated,Fear
intimidation,Fear
intox,Happy
intoxicate,Happy
irasc,Angry
irascibility,Angry
irascible,Angry
ire,Angry
irrit,Angry
irritate,Angry
irritated,Angry
irritating,Angry
irritation,Angry
jealous,Angry
jealousi,Angry
jealously,Angry
jealousy,Angry
jocular,Happy
jocularity,Happy
jocund,Happy
jocundity,Happy
jolli,Happy
jolliti,Happy
jollity,Happy
jolly,Happy
jolly_along,Happy
jolly_up,Happy
jovial,Happy
joviality,Happy
joy,Happy
joyful,Happy
joyfully,Happy
joyfulness,Happy
joyless,Sad
joylessly,Sad
joylessness,Sad
joyous,Happy
joyously,Happy
joyousness,Happy
jubil,Happy
jubilance,Happy
jubilancy,Happy
jubilant,Happy
jubilantly,Happy
jubilate,Happy
jubilation,Happy
jump_for_joy,Happy
keen,Happy
keenness,Happy
kick,Happy
kid,Happy
kind,Happy
kindheart,Happy
kindhearted,Happy
kindheartedness,Happy
kindly,Happy
lachrymos,Sad
lachrymose,Sad
laden,Sad
lament,Sad
lamentably,Sad
laudabl,Happy
laudably,Happy
lift_up,Happy
lighthearted,Happy
lightheartedness,Happy
lightsom,Happy
lightsomeness,Happy
likabl,Happy
likable,Happy
like,Happy
likeabl,Happy
likeable,Happy
liking,Happy
live_up_to,Happy
livid,Angry
lividity,Angry
lividly,Angry
loath,Angry
loath,Angry
loathe,Angry
loathing,Angry
loathly,Angry
loathsom,Angry
loathsome,Angry
loneli,Sad
loneliness,Sad
long-fac,Sad
long-faced,Sad
look_for,Happy
look_to,Happy
look_up_to,Happy
lorn,Sad
love,Happy
lovesom,Happy
lovesome,Happy
loving,Happy
lovingly,Happy
lovingness,Happy
low,Sad
low-spirit,Sad
low-spirited,Sad
low-spiritedness,Sad
loyalti,Happy
loyalty,Happy
mad,Angry
madden,Angry
maddened,Angry
maddening,Angry
madness,Angry
malef,Angry
malefic,Angry
maleficence,Angry
malevol,Angry
malevolence,Angry
malevolent,Angry
malevolently,Angry
malic,Angry
malice,Angry
malici,Angry
malicious,Angry
maliciously,Angry
maliciousness,Angry
malign,Angry
malignity,Angry
marvel,Surprise
marvellously,Surprise
marvelous,Surprise
marvelously,Surprise
melanchol,Sad
melancholi,Sad
melancholic,Sad
melancholy,Sad
merciless,Fear
mercilessness,Fear
merri,Happy
merrili,Happy
merrily,Happy
merriment,Happy
merry,Happy
mirth,Happy
mirthful,Happy
mirthfully,Happy
mirthfulness,Happy
misanthrop,Angry
misanthropi,Angry
misanthropic,Angry
misanthropical,Angry
misanthropy,Angry
miser,Sad
miserable,Sad
miserably,Sad
miseri,Sad
misery,Sad
misfortun,Sad
misfortunate,Sad
misocainea,Angry
misogami,Angry
misogamy,Angry
misogyn,Angry
misogyni,Angry
misogynic,Angry
misogynism,Angry
misogyny,Angry
misolog,Angry
misology,Angry
mison,Angry
misoneism,Angry
misopedia,Angry
monstrous,Fear
monstrously,Fear
mourn,Sad
mournful,Sad
mournfully,Sad
mournfulness,Sad
mourning,Sad
move,Happy
murder,Angry
murderously,Angry
murderousness,Angry
mystifi,Surprise
mystify,Surprise
nark,Angry
nausea,Angry
