Tweets,User,User_location,fav_count,rt_count,tweet_date
"#IndiaFightsCorona #COVID #COVID19 #SwasthaBharat #HealthForAll
@prasarbharati @AkashvaniAIR @newsonair @ceo_pb 
Do… https://t.co/QBEjyRNdnb",Aakashwani Surat,"Surat, India",1,0,2020-06-01 16:13:57
"#Assam: State tally soars to 1,463, including 1,179 active cases

#COVIDー19 #IndiaFightsCorona 
https://t.co/C5X5cY81Yr",EastMojo,"Guwahati, India",3,1,2020-06-01 16:10:33
"Just In: Uttarakhand Tourism Minister Satpal Maharaj, his wife and 22 other family and staff members have tested po… https://t.co/XuZA7KClDA",Shashi Shankar Singh,Always on the move,33,11,2020-06-01 16:09:42
@HRDMinistry @MoHFW_INDIA @FinMinIndia @PMOIndia @AmitShah @narendramodi Firing is rampant in corporate sector. It'… https://t.co/QXr320Y69g,NINAD DHARMADHIKARI,Pune,0,0,2020-06-01 16:08:11
.@MOFPI_GOI welcomes the historic decisions by the Cabinet chaired by the PM @narendramodi for stressed MSME sector… https://t.co/O5uZwLBIXn,FOOD PROCESSING MIN,"Delhi, India",18,10,2020-06-01 16:07:43
"#IndiaFightsCorona: 

📍Risk Factors that make people more vulnerable to #COVID19 

▶️Those with age 60 and above
▶️… https://t.co/K2UueFlTav",आत्मनिर्भर भगवाधारी🚩,इधरही बग़ल में ।,0,0,2020-06-01 16:04:58
"#IndiaFightsCorona #COVID19
@CMOTamilNadu announced the new guidelines in this Lockdown 5.0.
For better comprehensi… https://t.co/bOdHZ1Af7c",Amit Kumar Adi 🇮🇳 #StayHome #StaySafe,"Tamil Nadu, India",0,0,2020-06-01 16:01:59
"#IndiaFightsCorona: 

📍Risk Factors that make people more vulnerable to #COVID19 

▶️Those with age 60 and above
▶️… https://t.co/e67kCeBuGu",#IndiaFightsCorona,,24,14,2020-06-01 16:01:20
"#IndiaFightsCorona 
#ScoutGuideFightsCorona 
Guides from Ratnabai Rathi School, Daryapur distributed masks. These G… https://t.co/e2rfVNkPsI",Amravati District Bharat Scouts And Guides,,1,0,2020-06-01 15:59:34
"@shwetajhaanchor Get well soon
💐💐
May God bless all of you.
🙏🙏
#COVIDー19 #IndiaFightsCorona #TogetherWeCan",DINESH CHAWLA,अखंड भारत,0,0,2020-06-01 15:56:28
"Why Safe Living is Vital after Pandemic and Natural Calamity #askNKRealtors
https://t.co/4UagoHsLB3 #SafeAtHome… https://t.co/YVcthjd4wZ",NK Realtors (P) Ltd,Kolkata & Hyderabad,0,0,2020-06-01 15:53:01
"With its biggest single-day spike in #COVIDー19 infections, #India became the world's seventh worst affected country… https://t.co/EXV6T0okUq",Jeet,India,0,0,2020-06-01 15:52:03
"Congratulations And Best Wishes Riyaz And Ashish. 💯👍👌🙂😊
#IndiaFightsCorona #COVID19 #TogetherWeWillWin #NITRaipur https://t.co/39PqKRIpeL",Pramod Kumar Sidar,"Raipur, Chhattisgarh , India",0,0,2020-06-01 15:48:31
"#CoronaVirusUpdates:

Recovery rates of States/UTs with 2000+ #COVID19 confirmed cases (as on June 01, 2020)

9 Sta… https://t.co/drrKJo4PHO",Prabhakar Maurya,Mumbai,2,0,2020-06-01 15:46:39
"Stay blessed @shwetajhaanchor Ji , #IndiaFightsCorona yes #TogetherWeCan ... 
Get well soon within June.. 🙏🙏 https://t.co/kRGisyTTgp",Neelkant Bakshi,earth,2,3,2020-06-01 15:45:26
"Here is a list of DO's &amp; Don'ts you should follow to protect yourself and others from #COVID19.

#StayHome… https://t.co/BEmJSUfuKT",DDNewsUP,"Lucknow, India",0,0,2020-06-01 15:45:00
"#IndiaFightsCorona: 

Follow seven simple steps to prevent the spread of #COVID19👇

#StayHome #Social_Distancing… https://t.co/h86Dfo0dYq",#IndiaFightsCorona,,30,9,2020-06-01 15:43:40
"It may feel like a storm today. Let's not worry; because a calm awaits.
.
📸Courtesy - #screamingg_eagle
Send us pic… https://t.co/00lfLAmsCX",Force Gurkha,"Pune, India",3,0,2020-06-01 15:39:32
"Respected @narendramodi @PMOIndia @MoHFW_INDIA @drharshvardhan @mlkhattar all

With #DigiCard we can create Region/… https://t.co/PWjDBVIuWw",Rohit Gaur,"Gurgaon, Haryana",0,0,2020-06-01 15:39:20
94 cases new positive cases in #Telangana. No migrants cases. #IndiaFightsCorona #coronavirus https://t.co/rXs3UoRvfX,Suresh Kondi,"Hyderabad, India",18,7,2020-06-01 15:37:17
