Tweets,User,User_location,fav_count,rt_count,tweet_date
"@RahulGandhi Hope the people and Govt understand, it's wise to question or you are dumb @BJP4India @ndtvindia… https://t.co/jKCH5wYlEe",Kunjan Kashyap,,0,0,2020-06-05 18:55:22
@KibaVenisha @RoopsSaxena Miserably #FailedLockdown,Tabish,"Jaipur, India",2,0,2020-06-05 18:55:16
Why we made all these cricketers &amp; actors popular? They don't fuckn' care about anything except their fame &amp; money.… https://t.co/0w8OA21I4T,Alexander Supertramp😕,"Tamil Nadu, India",0,0,2020-06-05 18:55:11
"@HasibaAmin What nonsense? Everything in this country is compromised. The nation can't survive in this fashion. 

M… https://t.co/hl972maP8V",BengaPinto,PanIndia-UP-TN- INC Karnataka,0,0,2020-06-05 18:53:05
UNESCO awarded India's lockdown and it turned out to be....well we all can see what it turned out to be..… https://t.co/3q5VC33Faf,Shraddha singh batham,Bhopal,0,0,2020-06-05 18:52:31
"Lockdown Failed Miserably 

🔹Migrants suffered
🔹No adequate Covid tests
🔹Daily Wager suffered
🔹Economy failure
🔹Une… https://t.co/OrrjaJaLMc",Tabish,"Jaipur, India",6,6,2020-06-05 18:52:12
"Congress Party press briefing by Shri Kapil Sibal.
(Vid # 3a/3)
#FailedLockdown
#ModiExposesModi
@INCIndia… https://t.co/h19zEtbiT2",BengaPinto,PanIndia-UP-TN- INC Karnataka,0,0,2020-06-05 18:52:12
"We are starting for flattered the covide curve but we are ended with flattered the wrong curve(GDP).
#FailedLockdown",Sagar Sukhnani,jalna,0,0,2020-06-05 18:51:38
"May  be 😁
#FailedLockdown https://t.co/BqJQsDJ5YL",Mohd Nafees,"उत्तर प्रदेश, भारत",2,0,2020-06-05 18:51:26
"Congress Party press briefing by Shri Kapil Sibal.
(Vid #2/3)
#FailedLockdown
#ModiExposesModi
@INCIndia… https://t.co/toxvOOneqY",BengaPinto,PanIndia-UP-TN- INC Karnataka,0,0,2020-06-05 18:50:45
"Congress Party press briefing by Shri Kapil Sibal.

#FailedLockdown
#ModiExposesModi
@INCIndia @RahulGandhi… https://t.co/oraVPpQHC9",BengaPinto,PanIndia-UP-TN- INC Karnataka,0,1,2020-06-05 18:50:26
"@kunalpurohit It's #COVID19Pandemic time.
#Mumbai health system is overwhelmed, other cities to follow.
U thank God… https://t.co/qr4YFzXxQP",unity in diversity,,0,0,2020-06-05 18:50:08
#FailedLockdown kill this virus also https://t.co/f1c0kC9dlH,🚨Prophet Of Doom🚨,Not in a bubble ,3,1,2020-06-05 18:49:45
Not only govt this whole Indian society is responsible for k!l1!ng the migrants. This society couldn't even put the… https://t.co/tKYtrwW7FD,Alexander Supertramp😕,"Tamil Nadu, India",0,0,2020-06-05 18:48:49
And some one trying to defend #FailedLockdown like this. He don't even know what is GMT +0 and what is GMT +8. 😂😂😂😂… https://t.co/vnazJ6MjvC,Sir Mayank,Chandigarh,0,0,2020-06-05 18:47:58
"Wrong to compare India with other countries.: 
No of tests/I M population
1. UK 76,838
2. Spain 86,921
3.Italy 68,0… https://t.co/e1znmwxjE3",Brij Gupta,"Gurgaon, India",0,0,2020-06-05 18:46:01
