Tweets,User,User_location,fav_count,rt_count,tweet_date
"Relaxing lockdown before peak.
Brace yourself the Virus.
#Covid_19 #COVID19India #Covid_19india #IndiaFightsCOVID19… https://t.co/E3kfQidgAr",SHAHADAD PN,Mecca,0,0,2020-06-05 19:54:10
"RT @project_umeed: This is possible because of your support &amp; our on-ground volunteers. Even as the lockdown is eased, with a rising number…",Harshit Jhalani,"Jaipur, India",0,6,2020-06-05 19:52:27
"@kunalpurohit sad 2 hear your loss. Reading your thread shows the shocking times
The threat of #COVID19India is rea… https://t.co/KMYjstuXTk",Manasvi Thapar मनस्वी थापर 🇮🇳,India,0,0,2020-06-05 19:51:06
"RT @shekhar_mande: The 1st phytopharmaceutical to get into clinical trials against #COVID19India, we @CSIR_IND are proud to be with @SunPha…",Abhijit Debnath,India,0,53,2020-06-05 19:51:03
"RT @md_mahameed: I think night curfew also been removed?? Bcoz 4 Murders in a single day happened?? 
Sir @CPHydCity @TelanganaCOPs plss tak…",Telangana,Hyderabad,0,1,2020-06-05 19:49:15
"Stay Home Stay Safe
#COVID19India 
#StayHomeStaySafe https://t.co/05zT3x5mhf",Pronoy Nandy,,1,0,2020-06-05 19:49:08
"RT @DilliDurAst: We have been gaslit into believing testing rates don't matter. As the tragedy unfold before our eyes, outr cardinal sin wa…",sayedz18,"Mumbai, India",0,88,2020-06-05 19:48:52
"RT @drkrvcvijay: No one can accept a PPE fr 4000 rs ...if they 8 persons (nurses,doctors,wardboys ) use in 24hours,it comes to 32000 withou…",CoronaveSivam,Chennai,0,2,2020-06-05 19:48:42
"RT @_nikhil_16: Doctors and scientists working on #coronavaccine right now:-

#COVID19India #Yalgaar #yalgaarho https://t.co/n6ssFXwSEI",JASON,,0,1,2020-06-05 19:47:45
"RT @ShamikaRavi: #DailyUpdate #COVID19India 
Unlike other countries, India witnessing significant fluctuations in growth rate of ACTIVE cas…",Ashutosh K,,0,287,2020-06-05 19:46:05
#TNEB is on a looting during this COVID lockdown. Not been in my house for 75 days in Chennai... Now I am getting a… https://t.co/P0iP6QXuBa,Kamal Kannan,CHENNAI,1,0,2020-06-05 19:45:39
"Published: 2nd of June 2020

Srinagar, a top pulmonologist and HoD Chest Disease Hospital, one of the exclusive fac… https://t.co/kY9GtcWjB3",🇮🇳 Faiz ⬜◽▫️,India,0,0,2020-06-05 19:45:35
"RT @aiims_rpr: COVID-19 Update-27 more positive patients reported during tests conducted at AIIMS Raipur. They are from-
14 Jaspur
04  Kabi…",Aakash Yadu,Bhanupratappur ,0,58,2020-06-05 19:45:11
"RT @project_umeed: This is possible because of your support &amp; our on-ground volunteers. Even as the lockdown is eased, with a rising number…",Navita Rathore,"Jaipur, India",0,6,2020-06-05 19:44:12
"RT @aiims_rpr: COVID 19-Three more positive patients found in Jaspur during tests conducted at AIIMS.
#COVID19India",Aakash Yadu,Bhanupratappur ,0,31,2020-06-05 19:44:02
RT @suraj_gupta_12: @ArvindKejriwal This is example how delhi government handling and controlling COVID19 cases. #Kejriwal #poorgov #COVID1…,Pronoy Nandy,,0,1,2020-06-05 19:42:22
"RT @ishitajoshi: Stay home, maintain social distancing of 6feet, use mask &amp; keep sanitising your hands! 

It’s difficult to follow Basics,…",Pronoy Nandy,,0,1,2020-06-05 19:42:06
"RT @Im_Mdsk: #COVID19India 

Eyes wide shut. 🔥

Are we just kidding here..🤐

#COVID19 
#COVID 
#IndiaFightsCOVID19 
#india 
#ModiExposesMod…",Pronoy Nandy,,0,1,2020-06-05 19:41:26
"Stay home, maintain social distancing of 6feet, use mask &amp; keep sanitising your hands! 

It’s difficult to follow B… https://t.co/RjQnKLGqCE",Ishita 🇮🇳,PKMB,3,1,2020-06-05 19:40:35
"#COVID19India 

Eyes wide shut. 🔥

Are we just kidding here..🤐

#COVID19 
#COVID 
#IndiaFightsCOVID19 
#india… https://t.co/kezmHFEeYX",Ali_खान,"Karnataka, India",1,1,2020-06-05 19:38:15
"Before it goes out of control, we (people of India) should have another phase of complete lockdown. #lockdown… https://t.co/weAehZ3FJ0",Ram,,1,0,2020-06-05 19:36:57
"RT @halalic: #COVID19 #COVID19India 
         Cases increasing rapidly 
227k corona cases .. 

#Staysafe https://t.co/3IEw1t5Ggl",👑Ara أرى🥀,India,0,3,2020-06-05 19:36:54
"Published: 2nd of June 2020

Ludhiana, a Doctor couple working at Mohan Dai Oswal Cancer Hospital, tested positive… https://t.co/7wCuRg0qAD",🇮🇳 Faiz ⬜◽▫️,India,0,0,2020-06-05 19:36:21
"RT @RshamPal: #COVID19India
With Record death of 286 in a single day India now ranks 6th.
As I previously told you that by Friday we overta…",ram_ji_uthale,,0,4,2020-06-05 19:33:52
"Whenever Our ""PM"" Says something people seems to following it....
#CoronavirusFear shd gets out of the minds of the… https://t.co/W0wqEw2yxu",K T,Mumbai India ,0,0,2020-06-05 19:33:30
@ArvindKejriwal This is example how delhi government handling and controlling COVID19 cases. #Kejriwal #poorgov… https://t.co/2o7gRqce6W,Suncorner,"Pune, India",0,1,2020-06-05 19:33:08
"RT @halalic: #COVID19 #COVID19India 
         Cases increasing rapidly 
227k corona cases .. 

#Staysafe https://t.co/3IEw1t5Ggl",Freshman™,"Lake Mary, FL",0,3,2020-06-05 19:31:18
"RT @AyazLatifPalijo: For Covid patients: don't panic, dont  be scared, corona is curable.

#COVID19Pakistan 
#Covid_19 
#COVID19India
#COVI…",Muhammad Fazil Rahoo,"Badin/Karachi, Pakistan",0,48,2020-06-05 19:30:58
"Published: 2nd of June 2020

Over a week after a 46-year-old nursing officer, Ambika PK, at a private hospital succ… https://t.co/PtvFFGw4p7",🇮🇳 Faiz ⬜◽▫️,India,0,0,2020-06-05 19:29:51
"Fortunately, 10K not touched today #CoronaWarriors #COVID19India",Rajiv Kala,"New Delhi, India",0,0,2020-06-05 19:28:39
"Banging utensils was #lockdown's sound of music, good enough to win a #Grammy in cacophony category (if it had one)… https://t.co/5h9YyF432y",Shamik Chakrabarty,Calcutta,0,0,2020-06-05 19:27:47
"According to data from Johns Hopkins University, India has now become the sixth most infected country in the world… https://t.co/VX8TOqG1eE",tweets,"Mumbai, India",0,0,2020-06-05 19:26:37
@kunalpurohit And there was an article this morning which claimed that the Goregaon isolation centre is mostly vaca… https://t.co/twt5BlVKmx,Amit Gupta,Mumbai,0,0,2020-06-05 19:25:49
"RT @Adityapai_19: India now surpasses Italy in #COVIDー19 tally.

Country Statistics : https://t.co/4civjWUk8t

#coronavirus #COVID19India #…",Nuri نوری 🤍,Hridayam ,0,5,2020-06-05 19:25:19
"Published: 1st of June 2020

Mumbai, Dr Shashank Mulgaokar (56), a senior homeopath from Gamdevi, succumbed to Covi… https://t.co/pJhLW7aLv3",🇮🇳 Faiz ⬜◽▫️,India,0,0,2020-06-05 19:24:55
Our mother earth is healing undoubtedly due to this pandemic. At least a good thing happing in this year.… https://t.co/gs80S0pWKa,Bhawna Bisht,,0,0,2020-06-05 19:23:59
"RT @sriramn78: #COVID19 Tracker for Chennai (Built during my free time)

https://t.co/GqEGfhMQVU

- Track Chennai COVID19 Status in detail…",Vagmi Mudumbai,"Fredericton, New Brunswick",0,15,2020-06-05 19:23:22
"RT @project_umeed: This is possible because of your support &amp; our on-ground volunteers. Even as the lockdown is eased, with a rising number…",Devendra bhatt,"Jaipur, India",0,6,2020-06-05 19:23:22
"RT @AbsoluteIndNews: The outcome of Unlock 1.0 has left people in #Bhopal worried in just five days. In the first four days of June, Bhopal…",yogendra absolute india,"Mumbai, India",0,1,2020-06-05 19:21:16
"RT @AbsoluteIndNews: Maharashtra recorded a staggering new high of 139 Covid-19 deaths on Friday, while Mumbai's total fatalities crossed t…",yogendra absolute india,"Mumbai, India",0,1,2020-06-05 19:21:04
We track emission data trends as No2 levels plummets across most urban centers in India post March 24th as captured… https://t.co/qyhoxRChGU,sociometrik,"New Delhi, India",0,1,2020-06-05 19:20:48
"RT @MluckySharma: #promote_all_college_students
The Government is testing the Final Year students with #COVID19India,If Students remain ali…",Charu Sharma,,0,5,2020-06-05 19:20:18
"RT @IndianYash: I fail to understand the impatience people show, especially when getting off an aeroplane or when getting into a Elevator.…",Evelyne Van Vosselen 🇧🇪,Belgium,0,6,2020-06-05 19:19:05
"RT @ArshadRizwan: Famous Gujarat model versus the world model!

The worst seems to be just starting....
#COVID19India https://t.co/ri8ZhsNN…",Mohammed Omair,,0,35,2020-06-05 19:18:47
"Maharashtra recorded a staggering new high of 139 Covid-19 deaths on Friday, while Mumbai's total fatalities crosse… https://t.co/7LENKwDAlL",Absolute India,India,1,1,2020-06-05 19:17:02
"#COVID19India
With Record death of 286 in a single day India now ranks 6th.
As I previously told you that by Friday… https://t.co/Zlm9FT6lUV",कमिश्नर रेशमपाल,झाकरकटी थाना,4,4,2020-06-05 19:16:50
"RT @halalic: #COVID19 #COVID19India 
         Cases increasing rapidly 
227k corona cases .. 

#Staysafe https://t.co/3IEw1t5Ggl",Tahira 🇮🇳,,0,3,2020-06-05 19:15:37
"RT @city19web: Unlock begins
Highest deceased in a day reported 286
Total 6649 so far

#COVID19India
#COCID19Update

https://t.co/RvIz0lgpV…",Liju Mathew,"Cochin, India",0,1,2020-06-05 19:15:24
"RT @BeingVaishRaj: #coronavirus update from #India 🇮🇳:
05/06/2020 

Total cases : 2,36,001
Active cases : 1,16,109
Death cases :6649
Recove…",Liju Mathew,"Cochin, India",0,1,2020-06-05 19:14:52
